item,item_en,item_id,2025,2024,2023,2022,2021
Chi phí trả trước ngắn hạn,Short-term prepayments,short_term_prepayments,783394843.0,372100262.0,427403281.0,789993253.0,321745552.0
Thuế GTGT được khấu trừ,VAT to be claimed,vat_to_be_claimed,0.0,0.0,0.0,2585615680.0,10563191725.0
Phải thu thuế khác,Other taxes receivable,other_taxes_receivable,0.0,0.0,1672118108.0,509885816.0,0.0
Tài sản lưu động khác,Other current assets,other_current_assets,0.0,0.0,0.0,0.0,0.0
TÀI SẢN DÀI HẠN,LONG-TERM ASSETS,long_term_assets,796710739521.0,693705321666.0,709823774029.0,527290485044.0,325040338021.0
Phải thu dài hạn,Long-term trade receivables,long_term_trade_receivables,222922076528.0,93577326528.0,85559448274.0,3481227534.0,10601084875.0
Phải thu khách hàng dài hạn,Long-term trade receivables from customers,long_term_trade_receivables_from_customers,0.0,0.0,0.0,0.0,0.0
Phải thu nội bộ dài hạn,Long-term intercompany receivables,long_term_intercompany_receivables,0.0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Other long-term receivables,other_long_term_receivables,222922076528.0,93577326528.0,85559448274.0,3481227534.0,10601084875.0
Dự phòng phải thu dài hạn,Provision for doubtful LT receivable,provision_for_doubtful_lt_receivable,0.0,0.0,0.0,0.0,0.0
Tài sản cố định,Fixed assets,fixed_assets,344841798702.0,369926562095.0,337035999196.0,318084548044.0,258200660312.0
GTCL TSCĐ hữu hình,Tangible fixed assets,tangible_fixed_assets,123048091850.0,137783362447.0,153064091477.0,159418491461.0,167573186923.0
Nguyên giá TSCĐ hữu hình,Cost,cost,210955566678.0,210955566678.0,209256510267.0,196504449399.0,190718141697.0
Khấu hao lũy kế TSCĐ hữu hình,Accumulated depreciation,accumulated_depreciation,-87907474828.0,-73172204231.0,-56192418790.0,-37085957938.0,-23144954774.0
GTCL tài sản thuê tài chính,Finance lease assets,finance_lease_assets,16087126979.0,25151899997.0,26115600252.0,16571943937.0,34146360860.0
Nguyên giá tài sản thuê tài chính,Cost,cost,42326474802.0,42326474802.0,35238581023.0,20499599222.0,44193531419.0
Khấu hao lũy kế tài sản thuê tài chính,Accumulated depreciation,accumulated_depreciation,-26239347823.0,-17174574805.0,-9122980771.0,-3927655285.0,-10047170559.0
GTCL tài sản cố định vô hình,Intangible fixed assets,intangible_fixed_assets,205706579873.0,206991299651.0,157856307467.0,142094112646.0,56481112529.0
Nguyên giá TSCĐ vô hình,Cost,cost,210320174528.0,210320174528.0,159846362528.0,142751362528.0,56481112529.0
Khấu hao lũy kế TSCĐ vô hình,Accumulated depreciation,accumulated_depreciation,-4613594655.0,-3328874877.0,-1990055061.0,-657249882.0,0.0
Xây dựng cơ bản đang dang dở (trước 2015),Construction in progress (before 2015),construction_in_progress_before_2015,0.0,0.0,0.0,0.0,0.0
Giá trị ròng tài sản đầu tư,Investment properties,investment_properties,0.0,0.0,0.0,0.0,0.0
Nguyên giá tài sản đầu tư,Cost,cost,0.0,0.0,0.0,0.0,0.0
Khấu hao lũy kế tài sản đầu tư,Accumulated depreciation,accumulated_depreciation,0.0,0.0,0.0,0.0,0.0
Đầu tư dài hạn,Long-term investments,long_term_investments,20000000000.0,20000000000.0,20000000000.0,0.0,0.0
Đầu tư vào các công ty con,Investments in subsidiaries,investments_in_subsidiaries,0.0,0.0,0.0,0.0,0.0
Đầu tư vào các công ty liên kết,Investments in associates,investments_in_associates,20000000000.0,20000000000.0,20000000000.0,0.0,0.0
Đầu tư dài hạn khác,Other long-term investments,other_long_term_investments,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,provision_for_long_term_investments,0.0,0.0,0.0,0.0,0.0
Lợi thế thương mại (trước 2015),Goodwill (before 2015),goodwill_before_2015,0.0,0.0,0.0,0.0,0.0
Tài sản dài hạn khác,Other long-term assets,other_long_term_assets,1198013164.0,2459757916.0,2645481670.0,3470092345.0,4417202776.0
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,1198013164.0,2459757916.0,2645481670.0,3470092345.0,4417202776.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,0.0,0.0,0.0,0.0,0.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,1649193211534.0,1634570045617.0,1532920518617.0,1359265929276.0,1032942899927.0
NỢ PHẢI TRẢ,Liabilities,liabilities,873169200135.0,898023038490.0,844248396146.0,711035394093.0,592320551101.0
Nợ ngắn hạn,Current liabilities,current_liabilities,858186688703.0,869787379806.0,799144132464.0,654072805548.0,450567621849.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,540398044990.0,740666281550.0,679477174315.0,570976621190.0,383677269009.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,222479144902.0,92564402663.0,94164743608.0,55074792547.0,54764030816.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,444476400.0,67689020.0,452739347.0,2713918116.0,738062282.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,16690100372.0,5735111838.0,10875617933.0,8949272246.0,2357118125.0
Phải trả người lao động,Payable to employees,payable_to_employees,4840985489.0,2981715656.0,2083967591.0,4140379867.0,4896890774.0
Chi phí phải trả,Accrued expenses,accrued_expenses,527811165.0,961039745.0,1371080529.0,2565812244.0,2531389613.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0,0.0,0.0
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0,0.0,0.0
Phải trả khác,Other payables,other_payables,70236193858.0,20119620050.0,505312702.0,124648550.0,508558459.0
Dự phòng các khoản phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,0.0,0.0,0.0,0.0,0.0
"Quỹ khen thưởng, phúc lợi",Bonus and welfare funds,bonus_and_welfare_funds,1626772842.0,3900081694.0,5438181694.0,2938520147.0,1076181559.0
Nợ dài hạn,Long-term liabilities,long_term_liabilities,14982511432.0,28235658684.0,45104263682.0,56962588545.0,141752929252.0
Phải trả nhà cung cấp dài hạn,Long-term trade payables,long_term_trade_payables,0.0,0.0,0.0,0.0,0.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,0.0,0.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,1741767306.0,2349412900.0,2623311900.0,1965661900.0,1603315300.0
Vay dài hạn,Long-term borrowings,long_term_borrowings,13240744126.0,25886245784.0,42480951782.0,54996926645.0,140149613952.0
Thuế thu nhập hoãn lại,Deferred income tax liabilities,deferred_income_tax_liabilities,0.0,0.0,0.0,0.0,0.0
Dự phòng trợ cấp thôi việc,Provision for severance allowances,provision_for_severance_allowances,0.0,0.0,0.0,0.0,0.0
Dự phòng các khoản nợ dài hạn,Provision for long-term liabilities,provision_for_long_term_liabilities,0.0,0.0,0.0,0.0,0.0
Doanh thu chưa thực hiện,Deferred revenue,deferred_revenue,0.0,0.0,0.0,0.0,0.0
Quỹ phát triển khoa học công nghệ,Technology-science development fund,technology_science_development_fund,0.0,0.0,0.0,0.0,0.0
Vốn chủ sở hữu,Owner's Equity,owners_equity,776024011399.0,736547007127.0,688672122471.0,648230535183.0,440622348826.0
Vốn và các quỹ,Capital and reserves,capital_and_reserves,776024011399.0,736547007127.0,688672122471.0,648230535183.0,440622348826.0
Vốn góp,Paid-in capital,paid_in_capital,470577870000.0,427799160000.0,356500000000.0,356500000000.0,270000000000.0
Thặng dư vốn cổ phần,Share premium,share_premium,159200000000.0,159200000000.0,159200000000.0,159200000000.0,90000000000.0
Vốn khác,Owner's other capital,owners_other_capital,0.0,0.0,0.0,0.0,0.0
Cổ phiếu quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Differences upon asset revaluation,differences_upon_asset_revaluation,0.0,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá,Foreign exchange differences,foreign_exchange_differences,0.0,0.0,0.0,0.0,0.0
Quỹ đầu tư và phát triển,Investment and development funds,investment_and_development_funds,47074549038.0,44680804805.0,12607975389.0,7166452294.0,2152363118.0
Quỹ dự phòng tài chính,Financial reserve funds,financial_reserve_funds,0.0,0.0,0.0,0.0,0.0
Quỹ khác,Other funds,other_funds,0.0,0.0,0.0,0.0,0.0
Lãi chưa phân phối,Undistributed earnings,undistributed_earnings,99171592361.0,104867042322.0,160364147082.0,125364082889.0,78469985708.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Enterprise arrangement fund,enterprise_arrangement_fund,0.0,0.0,0.0,0.0,0.0
Vốn Ngân sách nhà nước và quỹ khác,Budget sources and other funds,budget_sources_and_other_funds,0.0,0.0,0.0,0.0,0.0
"Quỹ khen thưởng, phúc lợi (trước 2010)",Bonus and welfare funds (Before 2010),bonus_and_welfare_funds_before_2010,0.0,0.0,0.0,0.0,0.0
Vốn ngân sách nhà nước và quỹ khác,Budget sources and other funds,budget_sources_and_other_funds,0.0,0.0,0.0,0.0,0.0
Lợi ích của cổ đông thiểu số,Minority interests (Before 2015),minority_interests_before_2015,0.0,0.0,0.0,0.0,0.0
Tổng cộng nguồn vốn,Total resource,total_resource,1649193211534.0,1634570045617.0,1532920518617.0,1359265929276.0,1032942899927.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0,0.0,0.0
Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,held_to_maturity_investment,40687060655.0,118906968745.0,94772592688.0,29700000000.0,0.0
Vốn kinh doanh ở các đơn vị trực thuộc,Paid-in capital in wholly-owned subsidiaries,paid_in_capital_in_wholly_owned_subsidiaries,0.0,0.0,0.0,0.0,0.0
Tài sản thiếu cần xử lý,Shortage of current assets waiting for solution,shortage_of_current_assets_waiting_for_solution,0.0,0.0,0.0,0.0,0.0
Phải thu cho vay ngắn hạn,Short-term loans receivables,short_term_loans_receivables,0.0,0.0,0.0,0.0,0.0
Giao dịch mua bán lại trái phiếu Chính phủ,Government bonds purchased for resale,government_bonds_purchased_for_resale,0.0,0.0,0.0,0.0,0.0
Trả trước người bán dài hạn,Long-term prepayments to suppliers,long_term_prepayments_to_suppliers,0.0,0.0,0.0,0.0,0.0
Phải thu cho vay dài hạn,Long-term loans receivables,long_term_loans_receivables,0.0,0.0,0.0,0.0,0.0
Tài sản dở dang dài hạn,Long-term incomplete assets,long_term_incomplete_assets,207748851127.0,207741675127.0,264582844889.0,202254617121.0,51821390058.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn",Long-term cost of work in progress,long_term_cost_of_work_in_progress,0.0,0.0,264582844889.0,0.0,0.0
Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,held_to_maturity_investment,0.0,0.0,0.0,0.0,0.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Long-term equipment, material and spare parts",long_term_equipment_material_and_spare_parts,0.0,0.0,0.0,0.0,0.0
Doanh thu chưa thực hiện ngắn hạn,Short-term unrealized revenue,short_term_unrealized_revenue,943158685.0,2791437590.0,4775314745.0,6588840641.0,18121212.0
Quỹ bình ổn giá,Price stabilization fund,price_stabilization_fund,0.0,0.0,0.0,0.0,0.0
Giao dịch mua bán lại trái phiếu chính phủ,Government bonds purchased for resale,government_bonds_purchased_for_resale,0.0,0.0,0.0,0.0,0.0
Người mua trả tiền trước dài hạn,Long-term advances from customers,long_term_advances_from_customers,0.0,0.0,0.0,0.0,0.0
Chi phí phải trả dài hạn,Long-term accrued expenses,long_term_accrued_expenses,0.0,0.0,0.0,0.0,0.0
Phải trả nội bộ về vốn kinh doanh,Intra-company payables for operating capital received,intra_company_payables_for_operating_capital_received,0.0,0.0,0.0,0.0,0.0
Trái phiếu chuyển đổi,Convertible bonds,convertible_bonds,0.0,0.0,0.0,0.0,0.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0,0.0,0.0
Cổ phiếu phổ thông,Common shares,common_shares,470577870000.0,427799160000.0,356500000000.0,356500000000.0,270000000000.0
Quyền chọn chuyển đổi trái phiếu,Conversion options on convertible bonds,conversion_options_on_convertible_bonds,0.0,0.0,0.0,0.0,0.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,Beginning accumulated undistributed earnings,beginning_accumulated_undistributed_earnings,59215839242.0,56992157666.0,117201798247.0,70948851944.0,28329093947.0
LNST chưa phân phối kỳ này,Current period undistributed earnings,current_period_undistributed_earnings,39955753119.0,47874884656.0,43162348835.0,54415230945.0,50140891761.0
Xây dựng cơ bản đang dở dang,Construction in progress,construction_in_progress,207748851127.0,207741675127.0,0.0,202254617121.0,51821390058.0
Lợi thế thương mại,Goodwill,goodwill,0.0,0.0,0.0,0.0,0.0
Lợi ích cổ đông không kiểm soát,Minority interests,minority_interests,0.0,0.0,0.0,0.0,0.0
Nguồn kinh phí đã hình thành TSCĐ,Funds used for fixed asset acquisitions,funds_used_for_fixed_asset_acquisitions,0.0,0.0,0.0,0.0,0.0
