item,item_en,item_id,2025,2024,2023
Trả trước dài hạn,Long-term prepayments,long_term_prepayments,7242060736.0,18417182165.0,1159928870.0
Thuế thu nhập hoãn lại,Deferred income tax assets,deferred_income_tax_assets,0.0,0.0,0.0
Các tài sản dài hạn khác,Other long-term assets,other_long_term_assets,0.0,0.0,0.0
TỔNG CỘNG TÀI SẢN,Total Assets,total_assets,2524052313930.0,2111636326672.0,2055907292836.0
NỢ PHẢI TRẢ,Liabilities,liabilities,1923045366648.0,1536676170079.0,1585747870108.0
Nợ ngắn hạn,Current liabilities,current_liabilities,1882908630396.0,1453044402327.0,1478763574531.0
Vay ngắn hạn,Short-term borrowings,short_term_borrowings,729151579631.0,343868983506.0,678742811364.0
Phải trả người bán,Trade accounts payable,trade_accounts_payable,553474196704.0,641418425768.0,504258206328.0
Người mua trả tiền trước,Advances from customers,advances_from_customers,543040639136.0,422611556091.0,276570367350.0
Thuế và các khoản phải trả Nhà nước,Taxes and other payable to State Budget,taxes_and_other_payable_to_state_budget,6319328302.0,3900246343.0,3677660422.0
Phải trả người lao động,Payable to employees,payable_to_employees,8937269582.0,5555307483.0,4403782114.0
Chi phí phải trả,Accrued expenses,accrued_expenses,15327317446.0,19111481915.0,4616611726.0
Phải trả nội bộ,Intercompany payables,intercompany_payables,0.0,0.0,0.0
Phải trả về xây dựng cơ bản,Construction contract in progress payables,construction_contract_in_progress_payables,0.0,0.0,0.0
Phải trả khác,Other payables,other_payables,21283414350.0,12472170916.0,3256569901.0
Dự phòng các khoản phải trả ngắn hạn,Provision for ST liabilities,provision_for_st_liabilities,0.0,0.0,0.0
"Quỹ khen thưởng, phúc lợi",Bonus and welfare funds,bonus_and_welfare_funds,5374885245.0,4106230305.0,3237565326.0
Nợ dài hạn,Long-term liabilities,long_term_liabilities,40136736252.0,83631767752.0,106984295577.0
Phải trả nhà cung cấp dài hạn,Long-term trade payables,long_term_trade_payables,33111269522.0,50759520039.0,75681157533.0
Phải trả nội bộ dài hạn,Long-term intercompany payables,long_term_intercompany_payables,0.0,0.0,0.0
Phải trả dài hạn khác,Other long-term payables,other_long_term_payables,0.0,0.0,0.0
Vay dài hạn,Long-term borrowings,long_term_borrowings,3112322404.0,26251006896.0,31303138044.0
Thuế thu nhập hoãn lại,Deferred income tax liabilities,deferred_income_tax_liabilities,0.0,0.0,0.0
Dự phòng trợ cấp thôi việc,Provision for severance allowances,provision_for_severance_allowances,0.0,0.0,0.0
Dự phòng các khoản nợ dài hạn,Provision for long-term liabilities,provision_for_long_term_liabilities,3913144326.0,6621240817.0,0.0
Doanh thu chưa thực hiện,Deferred revenue,deferred_revenue,0.0,0.0,0.0
Quỹ phát triển khoa học công nghệ,Technology-science development fund,technology_science_development_fund,0.0,0.0,0.0
Vốn chủ sở hữu,Owner's Equity,owners_equity,601006947282.0,574960156593.0,470159422728.0
Vốn và các quỹ,Capital and reserves,capital_and_reserves,601006947282.0,574960156593.0,470159422728.0
Vốn góp,Paid-in capital,paid_in_capital,402500000000.0,402500000000.0,350000000000.0
Thặng dư vốn cổ phần,Share premium,share_premium,18041760000.0,18041760000.0,0.0
Vốn khác,Owner's other capital,owners_other_capital,0.0,0.0,0.0
Cổ phiếu quỹ,Treasury shares,treasury_shares,0.0,0.0,0.0
Chênh lệch đánh giá lại tài sản,Differences upon asset revaluation,differences_upon_asset_revaluation,0.0,0.0,0.0
Chênh lệch tỷ giá,Foreign exchange differences,foreign_exchange_differences,0.0,0.0,0.0
Quỹ đầu tư và phát triển,Investment and development funds,investment_and_development_funds,3583256830.0,2737486870.0,2158376884.0
Quỹ dự phòng tài chính,Financial reserve funds,financial_reserve_funds,0.0,0.0,0.0
Quỹ khác,Other funds,other_funds,0.0,0.0,0.0
Lãi chưa phân phối,Undistributed earnings,undistributed_earnings,176881930452.0,151680909723.0,118001045844.0
Quỹ hỗ trợ sắp xếp doanh nghiệp,Enterprise arrangement fund,enterprise_arrangement_fund,0.0,0.0,0.0
Vốn Ngân sách nhà nước và quỹ khác,Budget sources and other funds,budget_sources_and_other_funds,0.0,0.0,0.0
"Quỹ khen thưởng, phúc lợi (trước 2010)",Bonus and welfare funds (Before 2010),bonus_and_welfare_funds_before_2010,0.0,0.0,0.0
Vốn ngân sách nhà nước và quỹ khác,Budget sources and other funds,budget_sources_and_other_funds,0.0,0.0,0.0
Lợi ích của cổ đông thiểu số,Minority interests (Before 2015),minority_interests_before_2015,0.0,0.0,0.0
Tổng cộng nguồn vốn,Total resource,total_resource,2524052313930.0,2111636326672.0,2055907292836.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0
Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,held_to_maturity_investment,220000000000.0,53000000000.0,311893447343.0
Vốn kinh doanh ở các đơn vị trực thuộc,Paid-in capital in wholly-owned subsidiaries,paid_in_capital_in_wholly_owned_subsidiaries,0.0,0.0,0.0
Tài sản thiếu cần xử lý,Shortage of current assets waiting for solution,shortage_of_current_assets_waiting_for_solution,0.0,0.0,0.0
Phải thu cho vay ngắn hạn,Short-term loans receivables,short_term_loans_receivables,8000000000.0,0.0,0.0
Giao dịch mua bán lại trái phiếu Chính phủ,Government bonds purchased for resale,government_bonds_purchased_for_resale,0.0,0.0,0.0
Trả trước người bán dài hạn,Long-term prepayments to suppliers,long_term_prepayments_to_suppliers,0.0,0.0,0.0
Phải thu cho vay dài hạn,Long-term loans receivables,long_term_loans_receivables,0.0,0.0,0.0
Tài sản dở dang dài hạn,Long-term incomplete assets,long_term_incomplete_assets,39285960000.0,280500000.0,363592145.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn",Long-term cost of work in progress,long_term_cost_of_work_in_progress,0.0,0.0,0.0
Đầu tư nắm giữ đến ngày đáo hạn,Held-to-maturity investment,held_to_maturity_investment,25000000000.0,30000000000.0,30000000000.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Long-term equipment, material and spare parts",long_term_equipment_material_and_spare_parts,0.0,0.0,0.0
Doanh thu chưa thực hiện ngắn hạn,Short-term unrealized revenue,short_term_unrealized_revenue,0.0,0.0,0.0
Quỹ bình ổn giá,Price stabilization fund,price_stabilization_fund,0.0,0.0,0.0
Giao dịch mua bán lại trái phiếu chính phủ,Government bonds purchased for resale,government_bonds_purchased_for_resale,0.0,0.0,0.0
Người mua trả tiền trước dài hạn,Long-term advances from customers,long_term_advances_from_customers,0.0,0.0,0.0
Chi phí phải trả dài hạn,Long-term accrued expenses,long_term_accrued_expenses,0.0,0.0,0.0
Phải trả nội bộ về vốn kinh doanh,Intra-company payables for operating capital received,intra_company_payables_for_operating_capital_received,0.0,0.0,0.0
Trái phiếu chuyển đổi,Convertible bonds,convertible_bonds,0.0,0.0,0.0
Cổ phiếu ưu đãi,Preferred shares,preferred_shares,0.0,0.0,0.0
Cổ phiếu phổ thông,Common shares,common_shares,402500000000.0,402500000000.0,350000000000.0
Quyền chọn chuyển đổi trái phiếu,Conversion options on convertible bonds,conversion_options_on_convertible_bonds,0.0,0.0,0.0
LNST chưa phân phối lũy kế đến cuối kỳ trước,Beginning accumulated undistributed earnings,beginning_accumulated_undistributed_earnings,146570262178.0,122490747055.0,103038334751.0
LNST chưa phân phối kỳ này,Current period undistributed earnings,current_period_undistributed_earnings,30311668274.0,29190162668.0,14962711093.0
Xây dựng cơ bản đang dở dang,Construction in progress,construction_in_progress,39285960000.0,280500000.0,363592145.0
Lợi thế thương mại,Goodwill,goodwill,0.0,0.0,0.0
Lợi ích cổ đông không kiểm soát,Minority interests,minority_interests,0.0,0.0,0.0
Nguồn kinh phí đã hình thành TSCĐ,Funds used for fixed asset acquisitions,funds_used_for_fixed_asset_acquisitions,0.0,0.0,0.0
